1000 1000 0.000000 0.400000 0.140000 0.050000    0.0160         0    0.0071    0.0055
1000 1000 0.010000 0.400000 0.140000 0.050000    0.0160    0.0041    0.0072    0.0059
1000 1000 0.020000 0.400000 0.140000 0.050000    0.0170    0.0048    0.0077    0.0058
1000 1000 0.030000 0.400000 0.140000 0.050000    0.0168    0.0055    0.0077    0.0060
1000 1000 0.040000 0.400000 0.140000 0.050000    0.0172    0.0063    0.0078    0.0061
1000 1000 0.050000 0.400000 0.140000 0.050000    0.0168    0.0065    0.0081    0.0060
1000 1000 0.060000 0.400000 0.140000 0.050000    0.0172    0.0070    0.0084    0.0060
1000 1000 0.070000 0.400000 0.140000 0.050000    0.0173    0.0075    0.0088    0.0063
1000 1000 0.080000 0.400000 0.140000 0.050000    0.0169    0.0077    0.0087    0.0061
1000 1000 0.090000 0.400000 0.140000 0.050000    0.0182    0.0079    0.0095    0.0063
1000 1000 0.100000 0.400000 0.140000 0.050000    0.0181    0.0086    0.0092    0.0064
1000 1000 0.110000 0.400000 0.140000 0.050000    0.0185    0.0087    0.0093    0.0059
1000 1000 0.120000 0.400000 0.140000 0.050000    0.0169    0.0090    0.0093    0.0060
1000 1000 0.130000 0.400000 0.140000 0.050000    0.0181    0.0092    0.0098    0.0063
1000 1000 0.140000 0.400000 0.140000 0.050000    0.0178    0.0097    0.0102    0.0061
1000 1000 0.150000 0.400000 0.140000 0.050000    0.0188    0.0100    0.0101    0.0062
1000 1000 0.160000 0.400000 0.140000 0.050000    0.0187    0.0099    0.0103    0.0060
1000 1000 0.170000 0.400000 0.140000 0.050000    0.0187    0.0105    0.0106    0.0062
1000 1000 0.180000 0.400000 0.140000 0.050000    0.0193    0.0107    0.0107    0.0061
1000 1000 0.190000 0.400000 0.140000 0.050000    0.0178    0.0109    0.0107    0.0059
1000 1000 0.200000 0.400000 0.140000 0.050000    0.0189    0.0113    0.0118    0.0061
1000 1000 0.210000 0.400000 0.140000 0.050000    0.0189    0.0114    0.0112    0.0059
1000 1000 0.220000 0.400000 0.140000 0.050000    0.0182    0.0116    0.0118    0.0061
1000 1000 0.230000 0.400000 0.140000 0.050000    0.0186    0.0118    0.0119    0.0059
1000 1000 0.240000 0.400000 0.140000 0.050000    0.0187    0.0123    0.0125    0.0059
1000 1000 0.250000 0.400000 0.140000 0.050000    0.0182    0.0130    0.0127    0.0056
1000 1000 0.260000 0.400000 0.140000 0.050000    0.0193    0.0127    0.0130    0.0060
1000 1000 0.270000 0.400000 0.140000 0.050000    0.0189    0.0130    0.0132    0.0058
1000 1000 0.280000 0.400000 0.140000 0.050000    0.0187    0.0138    0.0131    0.0056
1000 1000 0.290000 0.400000 0.140000 0.050000    0.0190    0.0133    0.0141    0.0057
1000 1000 0.300000 0.400000 0.140000 0.050000    0.0201    0.0134    0.0140    0.0058
1000 1000 0.310000 0.400000 0.140000 0.050000    0.0198    0.0137    0.0141    0.0059
1000 1000 0.320000 0.400000 0.140000 0.050000    0.0200    0.0144    0.0147    0.0059
1000 1000 0.330000 0.400000 0.140000 0.050000    0.0197    0.0146    0.0149    0.0057
1000 1000 0.340000 0.400000 0.140000 0.050000    0.0191    0.0145    0.0148    0.0055
